synd|ajavaljendeid
1981|2
1975|26
1989|4
1900|7
1983|17
1944|1
1935|8
1947|1
1893|7
1941|27
1956|22
1896|18
1918|2
1937|11
1945|34
1910|43
1951|90
1891|20
1907|32
1939|30
1878|28
1909|19
1951|66
1904|4
1940|7
1933|26
1947|29
1919|19
1912|48
1932|24
1892|29
1916|19
1955|1
1922|20
1875|2
1913|2
1979|31
1949|5
1966|47
1915|23
1970|87
1962|88
1940|30
1921|32
1952|5
1956|5
1963|2
1959|15
1963|99
1972|7
1929|7
1954|45
1954|4
1948|2
1951|3
1957|20
1929|22
1949|9
1976|14
1954|7
1946|2
1964|2
1965|3
1940|32
1960|2
1965|60
1948|8
1957|12
1897|13
1942|18
1966|35
1895|18
1907|22
1945|16
1885|7
1908|12
1972|23
1947|50
1945|32
1902|11
1949|20
1909|18
1938|37
1958|11
1971|12
1959|39
1974|32
1942|11
1942|3
1960|12
1949|47
1963|24
1898|4
1918|3
1905|3
1892|7
1937|38
1892|11
1899|5
1978|17
1897|4
1910|14
1756|5
1900|7
1968|1
1987|7
1979|3
1990|1
1983|2
1961|31
1923|4
1921|9
1907|7
1929|11
1931|24
1932|11
1941|13
1948|9
1964|20
1953|4
1944|27
1941|17
1954|17
1957|11
1956|6
1933|9
1962|3
1962|16
1945|2
1960|1
1905|8
1941|25
1907|5
1845|13
1871|2
872|1
1980|6
1800|55
1880|17
1936|4
1959|2
1937|5
1943|11
1954|3
1948|31
1953|4
1926|6
1951|8
1976|22
1927|12
1931|5
1948|10
1967|2
1918|0
1533|6
1981|1
1959|3
1796|3
1939|4
1950|25
1878|2
1949|1
1830|22
1852|73
1725|6
1842|14
1868|11
1823|16
1819|6
1932|4
1982|5
1926|50
1933|4
1890|3
1934|22
1603|3
1905|17
1866|59
1964|10
1976|9
1920|29
1903|3
1915|4
1986|2
1644|2
1101|3
1792|36
1809|121
1908|23
1754|4
1762|23
1527|4
1642|2
1649|16
1606|23
1905|7
1988|14
1897|19
1880|8
1128|7
1933|9
940|4
1866|2
896|4
1971|6
573|6
1058|6
1966|5
750|6
1988|11
1956|7
1977|7
1480|14
1887|5
1794|7
1846|2
1985|16
1941|17
1815|8
1942|24
1965|36
1866|19
1869|29
1818|52
1869|13
1885|8
1910|30
1871|5
1880|3
1750|17
1918|6
1001|15
1964|1
1752|6
1811|11
1960|1
1969|4
1703|39
1973|1
1978|5
1904|26
1817|8
1717|10
1770|75
1987|19
1934|2
1979|5
1659|25
1977|38
1946|2
1798|3
1975|20
1599|19
1774|9
1890|3
1492|36
1969|3
1895|6
1966|1
1785|3
1723|17
1667|26
1748|2
1928|1
1854|8
1902|69
1919|6
1919|4
1890|4
1989|11
1969|16
1904|18
1880|2
1914|5
1781|16
1895|3
1890|7
1890|13
1908|12
1988|11
930|14
1979|8
1843|13
1908|11
501|10
1940|9
1985|2
1966|1
1993|1
1894|17
1883|95
1938|109
1884|4
1849|36
1934|43
1891|27
1862|2
1933|18
1847|12
1887|2
1938|7
1892|50
1883|6
1872|12
1865|4
1900|6
1905|7
1906|21
1817|19
1710|18
1873|29
1904|85
1909|3
1889|93
1897|47
1526|16
1883|78
1629|9
1892|12
1914|29
1862|17
1946|11
1893|12
1851|8
1701|3
1831|2
1897|10
1864|16
1903|27
1885|8
1887|14
1851|84
1897|3
1908|14
1922|43
1878|10
1250|8
1872|14
1881|4
1832|16
1846|12
1927|6
1933|26
1890|30
1851|62
1857|9
1848|11
1920|28
1939|2
1925|9
1917|8
1875|14
1936|32
1931|4
1947|6
1932|5
1863|6
1814|30
1835|11
1803|11
1844|11
1817|19
1824|2
1957|7
1814|2
1810|2
1910|21
1962|8
1914|17
1610|7
1969|2
1956|76
1979|35
1958|35
1950|10
1957|1
1983|19
1615|9
1663|7
1956|1
1981|30
1982|1
1958|1
1938|1
1982|11
1984|9
1935|34
1836|10
1973|6
1975|10
1975|15
1941|38
1961|7
1966|4
1859|12
1600|20
1947|9
1907|2
1847|4
1996|1
1185|3
1210|3
1901|16
1945|1
1890|35
1901|13
1953|6
501|22
1970|10
1973|5
1930|9
1973|18
1985|17
1903|23
1984|25
1986|34
1911|3
1936|6
1950|10
1989|10
1968|5
1979|8
1927|16
1908|3
1972|12
1921|23
1959|10
1941|64
1967|3
1969|8
1954|11
1908|49
1962|2
1905|6
1969|30
1895|10
1960|20
1946|43
1900|3
1949|18
1946|46
1955|37
1984|3
1933|9
1924|10
1910|47
1939|15
1922|17
1557|2
1915|12
1906|8
1963|4
1938|37
1909|18
1897|9
1935|14
1937|15
1906|23
1910|15
1951|10
1909|22
1940|34
1901|7
1942|7
1957|1
1951|14
1964|11
1863|5
1974|25
1941|2
1853|65
1932|6
1951|74
1966|10
1958|8
1918|27
1973|1
1932|6
1961|4
1941|9
1952|15
1962|2
1951|10
1959|20
1941|2
1864|6
1951|5
1946|18
1976|4
1972|5
1923|21
1971|7
1952|34
1958|31
1937|34
1947|6
1924|20
1963|9
1964|6
1969|15
1971|10
1979|1
1967|34
1932|2
1969|4
1958|1
1931|31
1970|18
1964|93
1932|12
1974|5
1930|6
1912|14
1957|44
1982|10
1962|4
1971|22
1970|21
1936|29
1966|17
1965|31
1973|5
1986|2
1980|38
1983|2
1987|2
1975|13
1958|3
1947|6
1949|2
1931|10
1933|12
1906|6
1939|38
1938|40
1933|24
1950|6
1941|16
1966|13
1957|2
1960|4
1962|12
1928|14
1942|17
1934|23
1930|7
1949|18
1935|9
1939|2
1902|20
1906|42
1917|3
1958|22
1968|11
1925|3
1933|22
1959|5
1971|16
1909|23
1932|34
1962|5
1943|18
1958|1
1926|35
1962|8
1965|6
1942|20
1906|35
1925|28
1973|1
1972|2
1965|3
1957|5
1954|13
1971|3
1955|39
1962|5
1947|3
1967|32
1961|15
1938|11
1904|17
1965|28
1966|2
1946|4
1968|17
1964|5
1952|42
1932|16
1956|1
1960|17
1965|3
1966|1
1976|6
1934|28
1903|50
1979|2
1914|16
1988|1
1966|31
-1|8
1962|8
1941|19
1938|19
1966|3
1941|1
1876|13
1908|5
1939|22
1901|28
1931|8
1928|6
1924|21
1910|19
1929|9
1878|104
1935|2
1915|7
1908|13
1921|7
1961|32
1928|39
1900|10
1935|14
1926|37
1931|27
1932|21
1925|9
1910|19
1926|10
1925|5
1932|13
1953|13
1935|24
1929|13
1909|14
1864|12
1927|14
1913|17
1912|26
1916|3
1920|5
1917|1
1934|17
1936|30
1935|5
1981|5
1970|25
1911|34
1974|1
1955|13
1963|13
1975|7
1970|10
1959|10
1940|18
1939|41
1967|2
