arv	sünniaasta
1960	0
327	1973
309	1963
309	1972
307	1969
304	1970
302	1953
302	1971
301	1947
298	1956
296	1979
296	1961
294	1928
294	1948
294	1981
291	1942
291	1950
291	1962
290	1976
290	1946
290	1960
289	1980
289	1968
289	1966
288	1929
281	1974
281	1964
280	1977
280	1957
277	1952
275	1941
274	1958
272	1965
272	1954
271	1982
270	1939
270	1983
269	1959
268	1949
266	1975
261	1930
260	1978
257	1945
255	1985
253	1951
250	1967
249	1984
248	1955
247	1938
247	1931
243	1943
240	1937
238	1944
237	1935
234	1934
231	1986
230	1940
226	1903
225	1932
222	1988
222	1926
221	1987
220	1936
217	1898
212	1927
210	1900
209	1902
209	1904
206	1924
205	1908
204	1899
203	1925
201	1892
201	1901
195	1922
191	1897
189	1990
188	1933
187	1921
186	1896
184	1895
183	1906
182	1911
182	1923
181	1907
181	1905
180	1894
178	1912
174	1989
166	1914
165	1893
164	1910
160	1909
158	1920
154	1891
150	1890
147	1913
145	1887
145	1889
138	1919
135	1915
133	1917
132	1885
130	1886
128	1918
123	1916
122	1888
121	1884
120	1991
119	1883
117	1882
115	1993
113	1992
107	1880
97	1879
91	1874
90	1881
85	1875
84	1877
83	1878
76	1873
75	1994
75	1870
75	1872
73	1876
73	1871
72	1867
70	1865
69	1863
68	1869
67	1866
65	1864
61	1860
55	1857
54	1868
53	1861
53	1859
51	1995
50	1862
48	1848
45	1853
41	1856
40	1845
39	1858
39	1854
38	1852
35	1844
34	1841
34	1401-1499
34	1838
33	1842
33	1836
33	1855
33	1849
32	1833
32	1818
32	1832
32	1834
32	1850
32	1839
31	1843
30	1831
30	1847
30	1804
29	1846
29	1811
28	1840
28	1830
27	1824
27	1802
27	1801
27	1996
27	1837
26	1851
26	1819
26	1826
26	1835
25	1809
25	1789
25	1822
25	1800
24	1817
24	1829
24	1810
24	1812
23	1701-1799
23	1813
23	1797
22	1769
21	1768
21	1823
21	1601-1699
21	1820
20	1767
20	1770
20	1803
19	1773
19	1777
19	1799
18	1821
18	1798
18	1808
18	1997
18	1786
18	1757
18	1815
18	1794
17	1795
17	1814
17	1827
17	1806
16	1791
16	1744
16	1793
16	1816
15	1755
