synd|ajavaljendeid
1981|2
1975|28
1989|4
1900|7
1983|18
1944|1
1935|8
1947|1
1893|7
1941|37
1956|23
1896|19
1918|25
1937|12
1945|42
1910|53
1951|288
1891|20
1907|32
1939|30
1878|28
1909|19
1951|72
1904|4
1940|11
1933|37
1947|34
1919|22
1912|48
1932|24
1892|30
1916|20
1955|1
1922|21
1875|3
1913|2
1979|31
1949|6
1966|47
1915|24
1970|155
1962|92
1940|30
1921|33
1952|6
1956|5
1963|2
1959|15
1963|99
1972|7
1929|180
1954|51
1954|4
1948|2
1951|3
1957|25
1929|22
1949|10
1976|15
1954|7
1946|3
1964|4
1965|4
1940|34
1960|2
1965|66
1948|20
1957|12
1897|13
1942|18
1966|36
1895|22
1907|38
1945|16
1885|7
1908|12
1972|23
1947|50
1945|35
1902|11
1949|28
1909|18
1938|45
1958|18
1971|13
1959|44
1974|35
1942|32
1942|6
1960|12
1949|53
1963|25
1898|5
1918|7
1905|5
1892|7
1937|43
1892|11
1899|5
1978|17
1897|4
1910|14
1756|5
1900|7
1968|1
1987|7
1979|4
1990|1
1983|2
1961|31
1923|4
1921|9
1907|7
1929|24
1931|40
1932|11
1941|13
1948|18
1964|23
1953|4
1944|27
1941|24
1954|18
1957|13
1956|6
1933|14
1962|3
1962|37
1945|2
1960|1
1905|8
1941|25
1907|5
1845|19
1871|2
872|1
1980|6
1800|55
1880|17
1936|4
1959|2
1937|5
1943|11
1954|3
1948|31
1953|4
1926|6
1951|8
1976|22
1927|12
1931|5
1948|10
1967|4
1918|3
1533|6
1981|1
1959|6
1796|3
1939|4
1950|28
1878|2
1949|1
1830|22
1852|78
1725|6
1842|14
1868|11
1823|16
1819|6
1932|4
1982|5
1926|61
1933|4
1890|3
1934|22
1603|3
1905|17
1866|69
1964|10
1976|9
1920|31
1903|3
1915|4
1986|2
1644|55
1101|3
1792|39
1809|121
1908|23
1754|4
1762|23
1527|4
1642|2
1649|16
1606|23
1905|7
1988|14
1897|22
1880|8
1128|7
1933|9
940|4
1866|2
896|4
1971|6
573|6
1058|6
1966|5
750|6
1988|11
1956|7
1977|7
1480|14
1887|5
1794|7
1846|2
1985|16
1941|27
1815|8
1942|30
1965|39
1866|19
1869|29
1818|52
1869|13
1885|8
1910|30
1871|5
1880|3
1750|17
1918|6
1001|15
1964|1
1752|6
1811|11
1960|1
1969|4
1703|39
1973|1
1978|5
1904|26
1817|8
1717|10
1770|111
1987|19
1934|2
1979|5
1659|25
1977|38
1946|2
1798|3
1975|20
1599|19
1774|11
1890|3
1492|36
1969|3
1895|6
1966|1
1785|3
1723|20
1667|36
1748|2
1928|1
1854|8
1902|73
1919|6
1919|4
1890|4
1989|11
1969|16
1904|20
1880|2
1914|5
1781|17
1895|7
1890|7
1890|14
1908|12
1988|12
930|14
1979|18
1843|13
1908|11
501|24
1940|21
1985|3
1966|1
1993|1
1894|17
1883|107
1938|109
1884|4
1849|47
1934|44
1891|32
1862|2
1933|22
1847|12
1887|2
1938|8
1892|65
1883|9
1872|12
1865|4
1900|6
1905|7
1906|21
1817|19
1710|18
1873|29
1904|103
1909|3
1889|98
1897|47
1526|16
1883|80
1629|9
1892|12
1914|29
1862|21
1946|11
1893|16
1851|8
1701|3
1831|2
1897|10
1864|16
1903|46
1885|11
1887|15
1851|86
1897|3
1908|14
1922|45
1878|13
1250|8
