arv	surmaaasta
16506	0
355	1942
335	2015
318	2014
300	2012
297	2011
289	2013
272	1941
247	2010
219	2009
201	2016
196	2008
189	2006
187	2007
170	1994
166	2004
164	1945
157	1944
156	1990
150	1996
146	1982
145	1995
145	2005
144	1986
142	1992
142	2003
139	1989
137	1997
137	1998
136	1991
133	1938
131	1984
131	1983
130	1985
130	1980
129	1943
128	1987
127	2002
126	1999
125	1979
125	1988
122	1975
121	1970
121	1976
121	2001
119	1969
115	1937
115	1974
115	1978
114	2000
112	1993
112	1977
108	1981
107	1973
107	1936
103	1967
103	1939
100	1940
98	1946
98	1965
97	1972
95	1947
94	1968
93	1966
92	1963
90	1964
89	1971
85	1953
84	1919
84	1956
84	1960
84	1961
82	1949
80	1962
80	1958
77	1955
73	1933
73	1952
73	1959
72	1948
72	1957
72	1935
70	1954
65	1950
65	1918
64	1925
63	1930
62	1924
61	1934
61	1932
60	1951
55	1920
53	1927
51	1931
50	1916
49	1929
45	1923
44	1926
43	1917
42	1922
40	1912
37	1913
37	1914
37	1921
34	1889
34	1928
32	1902
32	1903
32	1911
32	1891
30	1894
30	1900
29	1908
29	1906
29	1883
29	1886
29	1710
29	1882
28	1910
28	1909
28	1898
28	1915
27	1895
27	1892
26	1905
26	1893
26	1904
25	1890
25	1875
24	1901
24	1907
24	1874
24	1877
24	1864
24	1888
23	1884
23	1897
23	1841
23	1887
23	1865
22	1855
22	1848
22	1896
21	1876
21	1869
21	1856
21	1837
21	1850
20	1829
19	1880
19	1501-1599
19	1849
19	1870
19	1881
18	1885
18	1859
18	1872
18	1834
18	1878
17	1851
17	1861
17	1832
17	1899
17	1801-1899
16	1836
16	1793
16	1871
16	1844
16	1858
15	1854
15	1857
15	1809
15	1830
15	1867
15	1827
15	1838
14	1842
14	1852
14	1815
14	1879
14	1868
14	1873
14	1860
14	1862
13	1657
13	1812
13	1824
13	1822
13	1795
13	1560
13	1826
13	1828
13	1866
13	1843
12	1540
12	1845
12	1750
12	1831
12	1806
12	1755
12	1833
12	1846
11	1853
11	1823
11	1810
11	1796
11	1817
11	1791
11	1808
11	1819
11	1821
11	1863
11	1798
10	1679
10	1701-1799
10	1820
10	1803
10	1813
10	1788
10	1695
10	1847
10	1730
10	1740
10	1825
10	1840
10	1605
9	1771
9	1666
9	1780
9	1536
9	1799
9	1797
9	1650
9	1723
8	1800
8	1790
8	1717
8	1839
8	1741
8	1708
8	1781
8	1811
8	1814
8	1559
8	1510
8	1801
8	1550
8	1773
8	1714
8	1566
7	1805
7	1585
7	1784
7	1758
7	1792
7	1804
7	1772
7	1704
7	1727
7	1543
7	1612
7	1505
7	1643
7	1530
7	1707
7	1770
7	1764
7	1789
7	1665
7	1786
7	1751
7	1583
7	1535
7	1680
7	1689
7	1715
7	1692
7	1762
7	1712
7	1794
7	1818
7	1774
7	1594
7	1001-1099
7	1785
6	BC0501-BC0599
6	1783
6	1749
6	1778
6	1802
6	1630
6	1816
6	1742
6	1533
6	1767
6	1769
6	1557
6	1731
6	1694
6	1621
6	1555
6	1565
6	1523
6	1753
6	1642
6	1656
6	1571
6	1419
6	1401-1499
6	1464
6	1669
6	1601-1699
6	1572
6	1733
6	1777
6	1570
6	1835
6	1722
6	1746
6	1688
6	1706
6	1515
6	1690
6	1546
6	1664
6	1737
6	1564
6	1492
6	1705
6	1676
6	1765
6	BC0401-BC0499
6	1711
6	1551
5	1500
5	1766
5	1520
5	1574
5	1556
5	1675
5	1761
5	1674
5	1512
5	1745
5	1201-1299
5	1738
5	1756
5	1684
5	1702
5	1217
5	1470
5	1687
5	1471
5	1632
5	1719
5	1725
5	1779
5	1622
5	1567
5	1768
5	1735
5	1696
5	1760
5	1759
5	1776
5	1558
5	1724
5	0238
5	1607
5	1587
5	1598
5	1670
5	1539
5	1752
5	1720
5	1718
5	BC0001-BC0099
5	1625
5	1709
5	1516
5	1681
5	1590
5	1716
5	0270
5	1660
5	1601
5	1703
4	0201-0299
4	1686
4	1678
4	1787
4	1610
4	1506
4	1503
4	1513
4	1584
4	1484
4	1654
4	0020
4	1782
4	1624
4	1280
4	1652
4	1529
4	1608
4	1637
4	1498
4	1683
4	1626
4	1589
4	1698
4	1576
4	1701
4	1223
4	1480
4	1482
4	1509
4	1532
4	1241
4	1483
4	1591
4	0420
4	1534
4	1655
4	1216
4	1699
4	0901-0999
4	1580
4	1568
4	1595
4	1807
4	1620
4	0350
4	1619
4	1575
4	1592
4	0253
4	1525
4	1521
4	1616
4	BC1201-BC1299
4	1763
4	1700
4	1569
4	1739
4	1552
4	1424
4	1640
4	1518
4	1729
4	BC0201-BC0299
4	1682
3	1294
3	1508
3	1285
3	0069
3	1457
3	1382
3	0882
3	1296
3	1435
3	1658
3	1263
3	1310
3	1673
3	1167
3	1187
3	1528
3	0520
3	1577
3	1648
3	1573
3	1412
3	1691
3	1472
3	1469
3	1495
3	1685
3	1646
