arv|text
4969|2005
4793|2006
4627|2004
4614|2007
4542|2003
4384|2001
4231|2002
4065|2008
3824|2009
3785|1999
3759|2000
3480|1998
3313|2010
3248|1997
3232|1996
3162|1995
3152|1992
2992|1993
2958|2011
2863|1994
2599|1991
2598|1990
2465|2012
2451|2014
2370|1989
2204|2013
2078|1988
1977|1987
1940|1986
1855|1940
1822|1985
1794|1984
1794|1980
1726|1975
1696|1982
1685|1976
1674|1983
1672|1974
1671|1979
1655|1944
1648|1978
1628|1972
1628|1981
1599|1971
1596|1968
1586|1977
1582|1969
1555|1970
1549|1973
1547|1965
1499|1967
1488|1966
1430|1939
1407|2015
1385|aasta
1384|1963
1348|1964
1345|1938
1292|1960
1263|1962
1259|1941
1257|1961
1226|1935
1216|1957
1198|1945
1178|1959
1165|1937
1164|1958
1161|1936
1088|1956
1069|1920
1053|1949
1053|1934
1046|1950
1020|Samal aastal
1001|1953
1000|1927
998|1955
996|1954
987|1918
982|1932
971|1952
971|1928
970|1951
970|1947
968|1929
945|1924
938|1948
936|1930
936|1925
928|1933
915|1926
903|1931
903|1919
898|praegu
875|1946
847|1923
822|1921
761|1942
741|1917
731|1922
687|2016
675|1943
670|2007. aastal
654|aastaid
649|2005. aastal
636|nüüd
626|1914
622|2009. aastal
621|2006. aastal
614|samal aastal
600|2008. aastal
577|peagi
569|2004. aastal
569|2010. aastal
562|2006. aasta
551|2003. aastal
550|2002. aastal
548|2008. aasta
545|tänapäeval
531|1913
519|1915
514|2010. aasta
510|1916
507|1944. aastal
505|1912
505|2001. aastal
499|1911
495|2011. aastal
493|1910
472|2011. aasta
451|1905
451|2000. aastal
436|2012. aastal
430|1999. aastal
428|2007. aasta
424|kaks aastat
421|2009. aasta
417|2012. aasta
410|1908
410|1906
409|1992. aastal
408|1907
398|2004. aasta
398|1998. aastal
395|1996. aastal
388|1995. aastal
384|1997. aastal
379|1909
376|1902
373|1904
362|1903
357|2013. aastal
354|2014. aasta
352|tänapäeva
351|1941. aastal
347|1901
341|1990. aastal
339|varsti
336|Praegu
331|1940. aastal
329|1994. aastal
326|1993. aastal
326|1900
324|2015. aasta
324|Samal ajal
323|praeguse
319|Aasta
318|kolm aastat
317|1991. aastal
313|samal ajal
312|aastatel
311|2002. aasta
302|1989. aastal
302|1899
296|1939. aastal
295|1956. aastal
294|2007.
291|järgmisel aastal
289|1938. aastal
286|1892
285|1988. aastal
283|2014. aastal
281|praegune
280|1897
279|1898
277|1968. aastal
271|2013. aasta
270|1894
268|1918. aastal
267|1896
266|1888
266|1972. aastal
264|20. sajandi
259|1920. aastal
259|1960. aastal
255|2008.
254|1986. aastal
253|2005.
251|1917. aastal
250|1886
250|92
250|1950. aastal
250|2006.
249|1981. aastal
249|1895
249|1937. aastal
249|2005. aasta
248|1975. aastal
248|1891
247|1976. aastal
247|1949. aastal
247|1893
245|1980. aastal
244|aastad
242|1952. aastal
242|1934. aastal
242|2000. aasta
242|1982. aastal
242|1965. aastal
241|1935. aastal
241|1936. aastal
241|1945. aastal
240|1974. aastal
240|1889
239|1957. aastal
236|1948. aastal
236|1951. aastal
236|1970. aastal
235|1967. aastal
233|Varsti
233|1979. aastal
232|1985. aastal
232|1961. aastal
231|1885
230|2004.
230|1958. aastal
230|1987. aastal
230|1971. aastal
230|1978. aastal
229|1946. aastal
228|1919. aastal
226|1966. aastal
226|2015. aastal
226|1969. aastal
225|1984. aastal
225|1977. aastal
224|2005. aastast
224|1973. aastal
223|1879
223|2009.
222|1964. aastal
222|1954. aastal
222|1959. aastal
220|1876
219|1983. aastal
218|Järgmisel aastal
218|1882
217|1880
217|2010.
217|2002.
216|1890
216|2003.
216|tänapäevani
216|1955. aastal
215|1962. aastal
214|1963. aastal
212|1953. aastal
212|Peagi
211|1932. aastal
211|1878
211|1921. aastal
210|1926. aastal
210|1887
209|1947. aastal
209|1933. aastal
208|1881
208|2007. aastast
207|2001.
206|1998. aasta
206|1999.
206|1924. aastal
206|1884
204|16-aastaselt
204|2011.
202|2003. aasta
200|1922. aastal
200|1870
197|2000.
196|10 aastat
196|1928. aastal
196|Nüüd
194|aastate
194|1883
194|2016. aasta
193|1872
191|1923. aastal
190|17-aastaselt
190|2006. aastast
189|1925. aastal
189|1931. aastal
187|1861
186|1869
184|2009. aastast
182|edaspidi
182|1929. aastal
180|1942. aastal
179|2002. aastast
179|1927. aastal
178|1930. aastal
178|öö
178|1871
175|1943. aastal
175|1996. aasta
173|1992. aasta
173|1875
173|1866
172|1864
172|1863
171|tänaseni
171|1980. aastatel
169|2001. aastast
168|1877
167|1867
164|neli aastat
164|2003. aastast
164|2010. aastast
164|2004. aastast
162|1998. aastast
162|1914. aastal
162|20 aastat
162|1996.
162|1868
160|12-aastaselt
160|2011. aastast
158|1848
155|2012.
155|2026
154|1845
154|14-aastaselt
154|1856
153|1905. aastal
152|1874
152|1834
151|1992. aastast
151|kaasaegse
151|99
151|1865
150|1930. aastatel
150|1862
150|1839
150|1873
150|1960. aastatel
150|1995.
150|15-aastaselt
149|1913. aastal
148|1852
148|samal päeval
147|95
147|93
147|1846
147|aasta hiljem
147|1999. aasta
146|97
146|2008. aastast
145|1842
145|1997.
145|peatselt
145|1854
144|1855
144|1911. aastal
144|90
144|1999. aastast
143|1940.
142|pool aastat
142|1844
142|94
142|1912. aastal
140|järgmisel päeval
140|viis aastat
140|1993. aastast
140|toona
139|tol ajal
139|1993.
139|1857
139|Aastal 1944
138|1916. aastal
138|1915. aastal
138|1908. aastal
137|98
137|2016. aastal
137|1840
137|1830
136|1841
136|2000. aastast
136|91
135|13-aastaselt
135|1859
134|Aasta hiljem
134|Aastatel 1992
134|1995. aastast
134|1998.
134|1850
133|Järgmisel päeval
133|Aastatel 1990
133|1843
133|1990.
132|1994.
131|2001. aasta
131|1860
131|1853
130|1837
129|1849
129|96
128|1858
128|1992.
127|1994. aasta
127|19. sajandi
126|1831
125|1835
125|1851
124|1820
123|1994. aastast
123|1836
123|1970. aastatel
122|kümme aastat
121|1990. aastatel
121|1826
121|1814
120|1997. aastast
120|1819
120|1847
119|1832
118|2013.
117|1806
117|1821
117|1909. aastal
117|1818
116|Tänapäeval
116|aastatel 1945
116|18-aastaselt
115|15 aastat
115|1802
114|1988. aasta
114|1828
112|1917. aasta
112|06
112|1906. aastal
112|5 aastat
112|1833
112|Aastatel 1993
111|kuu
110|1829
110|1817
110|kuus aastat
110|88
110|kolmeks aastaks
110|1808
109|86
109|2013. aastast
109|89
109|tulevikus
108|1997. aasta
108|2014.
108|jõulud
108|2012. aastast
108|viimastel aastatel
108|tolle aja
107|1827
107|07
107|1710
107|1813
106|1838
106|mais
106|2014. aastast
105|1903. aastal
105|1991.
104|1968. aasta
104|Kevade
104|1935. aastani
104|10
104|1815
104|aasta aega
104|Järgnevatel aastatel
103|1812
103|3 aastat
103|1960.
102|1807
102|15
102|05
102|kaheaastase
102|1990. aastast
101|1803
101|74
101|40
101|Aastatel 1994
101|1996. aastast
101|1910. aastal
101|Aastatel 1995
101|hetkel
101|1920.
100|Aastatel 2003
100|1801
100|14
100|16-aastasena
99|1816
99|87
99|1986.
99|1989. aastast
99|märtsis
99|1904. aastal
98|igal aastal
98|1810
98|Aastal 2000
98|kaheks aastaks
98|aastas
98|aastatel 1990
98|1823
97|Aastatel 1998
97|Sel aastal
97|1991. aastast
97|1970.
96|aastatel 1992
96|1825
96|detsembris
96|1800
95|aastal 1939
95|Aastal 2004
95|16
95|1907. aastal
94|oktoobris
94|kolm kuud
94|Aastatel 2002
94|44
94|äsja
94|66
94|aastatel 1978
94|1956. aasta
93|84
93|Aastatel 2004
93|04
93|kaasaegsete
93|1905. aasta
93|Aastatel 1991
92|1824
92|72
92|aastal 1944
92|aastatel 1961
92|aastail
91|1901. aastal
91|1952. aasta
90|aastatel 2002
90|Aastal 2002
90|80
90|1991. aasta
90|1988.
90|12
90|62
90|aastatel 1987
90|Kaks aastat hiljem
