sonu|ajavaljendeid
34|2
1076|26
44|1
63|4
195|7
361|17
265|1
82|3
98|0
63|8
2154|5
608|2
131|3
74|0
128|0
2834|13
23|1
53|7
602|27
309|22
140|18
22|2
101|11
205|34
320|43
1071|90
78|20
184|32
363|30
352|28
235|19
549|66
62|4
114|7
374|26
428|29
136|19
270|48
810|24
82|29
342|19
15|1
362|20
391|10
30|2
571|6
28|2
695|31
129|5
216|1
242|47
241|23
1257|87
1060|88
564|30
238|32
70|5
65|5
47|2
142|15
694|99
112|7
152|7
320|45
44|4
44|2
41|3
147|20
175|22
123|9
187|14
32|7
28|2
39|2
36|3
235|32
127|2
846|60
227|8
153|12
207|13
183|18
321|35
76|18
192|22
142|16
59|7
152|12
175|23
336|50
241|32
109|11
102|20
114|18
266|37
87|11
122|12
556|39
696|32
309|11
39|3
105|12
699|47
154|24
54|4
27|3
54|3
32|7
453|38
96|11
65|5
253|17
149|6
50|4
81|14
83|4
48|5
694|11
106|7
35|1
63|7
76|3
20|1
33|2
361|31
200|4
541|9
46|0
56|7
71|11
231|24
121|11
64|13
72|9
87|20
65|4
232|27
165|17
200|17
118|11
86|6
148|9
63|3
290|16
42|2
26|1
111|8
198|25
194|5
74|3
634|13
87|2
42|1
59|1
56|6
2050|55
368|17
22|4
88|2
128|5
49|11
70|3
165|31
29|4
37|6
44|8
231|22
76|12
207|5
310|10
97|2
76|0
30|6
39|1
106|3
24|3
43|4
480|25
20|2
49|1
335|28
317|22
970|73
17|6
105|14
248|11
358|16
51|6
53|4
64|5
351|50
26|4
44|3
189|22
11|0
79|3
85|17
1280|59
196|10
381|9
297|29
27|3
29|4
41|2
61|2
72|3
369|36
1964|121
985|23
80|6
47|4
174|23
46|4
25|2
199|16
245|23
209|7
188|14
200|19
92|8
421|4
48|7
101|9
122|4
28|2
57|0
59|4
170|6
52|6
173|6
63|5
76|0
208|6
300|11
190|7
52|7
180|14
42|5
160|7
95|2
203|16
401|17
367|8
186|24
286|36
98|19
167|29
496|52
115|13
89|8
781|30
30|5
100|3
195|17
6|0
95|6
400|15
39|1
33|6
119|11
23|1
153|4
231|39
29|1
150|5
137|26
202|8
120|10
1189|75
147|19
61|2
1258|38
114|5
277|25
389|38
36|2
36|3
292|20
311|19
186|9
77|4
37|3
806|36
71|3
48|6
23|1
22|3
2188|17
551|26
27|2
16|1
42|2
54|8
1372|69
73|6
100|4
30|4
79|11
160|16
69|18
276|2
33|2
67|5
247|16
23|3
34|7
323|13
75|12
225|11
288|14
354|8
422|13
76|11
380|10
286|4
113|12
110|9
80|2
59|1
27|1
126|17
1107|95
712|109
158|4
455|36
324|43
146|27
77|2
94|18
159|12
34|2
66|7
1071|50
50|6
110|12
42|4
82|6
117|7
379|21
106|19
661|18
246|29
524|85
31|3
3351|93
243|47
378|16
904|78
221|9
187|12
260|29
128|17
229|11
105|12
98|8
17|3
27|2
69|10
79|16
245|27
308|8
62|14
764|84
47|3
169|14
330|43
123|10
255|8
311|14
33|4
181|16
104|12
48|6
233|26
69|1
310|30
131|18
653|62
245|9
48|11
272|28
38|2
85|9
68|8
590|14
156|32
85|4
47|6
44|5
103|6
261|30
88|11
189|11
187|11
232|19
22|2
66|7
24|2
20|2
119|21
81|8
144|17
104|7
40|2
60|4
612|76
877|35
240|35
91|10
37|1
775|19
103|5
112|9
66|7
54|1
796|30
30|1
23|1
23|1
169|11
169|9
200|34
182|10
35|2
135|6
116|10
109|15
281|38
78|7
67|4
536|5
147|12
32|0
495|20
293|9
38|2
