arv	text
6485	2005
6291	2006
6046	2007
6008	2004
5939	2003
5515	2001
5482	2002
5342	2008
5248	2000
5001	2009
4758	1999
4436	1998
4183	1997
4125	2010
4051	1996
4037	1995
3869	1992
3705	2011
3594	1993
3572	1994
3443	1991
3278	1990
3161	2014
3137	2012
2986	1989
2709	2013
2687	1988
2650	1987
2521	1986
2289	1984
2269	1985
2268	1982
2250	1980
2234	1981
2143	1940
2116	1975
2098	1983
2075	1976
2069	1979
2042	1978
2039	1944
2033	1974
2025	1977
2013	1972
1929	1969
1926	1971
1923	1968
1907	1973
1874	1970
1793	1965
1791	1966
1769	1967
1711	2015
1672	1963
1663	1939
1618	1964
1577	aasta
1566	1938
1536	1960
1505	1961
1503	1962
1431	1936
1427	1935
1403	1918
1389	1941
1387	1957
1384	1959
1363	1958
1355	1937
1324	1945
1225	1956
1211	1920
1210	1934
1195	1951
1181	1950
1164	1947
1163	1953
1157	1949
1148	1955
1147	1929
1146	1928
1135	1927
1131	1954
1121	1932
1107	1930
1096	1952
1079	Samal aastal
1075	1926
1072	1933
1063	1948
1039	1924
1034	1925
1022	1931
1005	1919
1001	1946
973	1923
970	praegu
950	1921
860	2016
835	1942
834	1917
830	1922
793	1996.
778	1943
759	nüüd
757	1914
704	aastaid
700	2007. aastal
673	samal aastal
667	peagi
666	1911
665	2005. aastal
646	2009. aastal
636	2006. aastal
636	1913
622	2008. aastal
618	1910
616	tänapäeval
613	1915
595	1912
588	1916
588	2004. aastal
580	2010. aastal
576	2006. aasta
571	2003. aastal
564	1905
564	2008. aasta
563	2002. aastal
553	1907
542	1908
541	1906
532	2010. aasta
522	1904
521	2005.
521	2007.
517	2001. aastal
514	2011. aastal
513	1944. aastal
510	1909
496	1901
495	1903
483	2006.
482	1902
479	2011. aasta
473	1993.
460	2000. aastal
453	2012. aastal
446	kaks aastat
439	2004.
437	1999. aastal
436	1900
436	2007. aasta
431	2009. aasta
430	2008.
423	2012. aasta
422	2000.
416	1992. aastal
411	Samal ajal
408	2004. aasta
406	varsti
405	1996. aastal
405	1998. aastal
404	2003.
404	2009.
396	1995. aastal
395	Praegu
394	1997. aastal
391	tänapäeva
390	Aasta
384	kolm aastat
380	2013. aastal
379	1899
376	1894
375	1999.
371	1897
370	1892
370	aastatel
366	2002.
365	1888
359	2014. aasta
357	1941. aastal
356	2001.
353	1898
352	2010.
351	1940. aastal
348	1896
346	1990. aastal
340	1994. aastal
339	20. sajandi
337	praeguse
337	järgmisel aastal
333	2015. aasta
332	1993. aastal
332	samal ajal
332	1889
328	1991. aastal
326	aastad
324	1893
321	1990.
320	1980.
319	1989. aastal
315	2002. aasta
314	1938. aastal
310	1939. aastal
310	1956. aastal
310	1995.
309	1895
308	2014. aastal
307	1886
304	1878
302	1891
301	1885
296	1997.
296	praegune
295	1988. aastal
293	2011.
290	1994.
285	1880
282	92
281	1968. aastal
281	1890
280	1918. aastal
275	2013. aasta
274	1998.
272	1960. aastal
271	1884
271	1876
271	1972. aastal
270	Varsti
269	1882
263	1917. aastal
263	1920. aastal
262	1986. aastal
259	1883
259	1934. aastal
258	1937. aastal
258	1879
256	1981. aastal
256	1949. aastal
256	1975. aastal
255	1881
252	2000. aasta
252	1950. aastal
252	1945. aastal
251	2005. aasta
250	1936. aastal
250	1976. aastal
249	1967. aastal
248	1982. aastal
248	1980. aastal
248	1986.
248	1887
248	1974. aastal
247	1935. aastal
246	1952. aastal
245	1957. aastal
244	aastate
244	16-aastaselt
243	1965. aastal
242	1948. aastal
242	1944.
241	1970. aastal
241	1955. aastal
240	2015. aastal
239	1961. aastal
239	2012.
237	1979. aastal
237	1985. aastal
237	1951. aastal
236	1958. aastal
235	1987. aastal
234	1978. aastal
234	1946. aastal
234	1971. aastal
234	1992.
234	1919. aastal
234	1969. aastal
232	1977. aastal
232	tänapäevani
232	1973. aastal
231	Peagi
231	2005. aastast
229	1926. aastal
229	1984. aastal
228	Järgmisel aastal
228	1966. aastal
227	1959. aastal
227	1954. aastal
227	1924. aastal
226	öö
226	1964. aastal
226	10 aastat
224	1962. aastal
223	1875
223	1872
223	1870
223	1983. aastal
221	edaspidi
220	1963. aastal
220	1953. aastal
220	1960.
219	1861
219	1921. aastal
219	2026
218	2007. aastast
218	1991.
217	1932. aastal
216	1869
215	Nüüd
213	1947. aastal
212	1933. aastal
209	2013.
207	1998. aasta
206	2003. aasta
205	1931. aastal
205	1922. aastal
204	17-aastaselt
203	2006. aastast
202	1940.
200	1871
200	1868
198	1928. aastal
197	1863
197	1864
196	1980. aastatel
195	1877
195	1866
194	neli aastat
193	2001. aastast
193	1929. aastal
192	2016. aasta
192	1925. aastal
191	2002. aastast
191	tänaseni
191	1923. aastal
190	1988.
189	1845
188	20 aastat
188	1987.
188	2009. aastast
187	1873
187	kaasaegse
187	1867
187	1927. aastal
186	12-aastaselt
185	1930. aastal
185	1942. aastal
184	peatselt
184	15-aastaselt
183	1800
183	1856
182	1834
181	1874
180	1848
180	1996. aasta
180	1865
179	1855
179	19. sajandi
179	1830
178	1839
178	2004. aastast
178	1862
177	1943. aastal
177	1846
175	1981.
175	1992. aasta
172	99
172	1814
171	1804
171	2011. aastast
170	1914. aastal
170	1852
170	1985.
169	98
169	tol ajal
169	1930. aastatel
169	93
169	1905. aastal
168	aasta hiljem
168	2000. aastast
168	1989.
168	viis aastat
167	2003. aastast
167	1859
167	samal päeval
166	1842
166	1802
165	2010. aastast
165	2014.
165	1831
165	1857
165	1998. aastast
164	1840
164	1854
163	1844
163	1960. aastatel
163	94
163	1999. aastast
162	1970.
162	1992. aastast
161	1850
161	1801
161	1837
160	14-aastaselt
159	1826
158	91
158	1853
158	90
158	1849
158	1803
157	1972.
156	1806
154	1913. aastal
154	Aasta hiljem
154	tolle aja
153	97
153	1843
153	95
152	1821
152	2008. aastast
152	1982.
152	1858
152	1964.
151	1832
151	1841
151	1860
151	järgmisel päeval
150	1999. aasta
150	1915. aastal
150	1819
148	2016. aastal
148	1916. aastal
148	1835
148	1820
146	1710
146	1808
146	1911. aastal
146	pool aastat
146	1984.
145	1975.
145	1993. aastast
145	mais
144	1968.
143	Järgmisel päeval
143	13-aastaselt
142	1836
142	1912. aastal
142	Aastatel 1990
142	toona
142	1827
142	1920.
142	1817
141	1740
141	96
141	1908. aastal
140	1851
139	Aastal 1944
139	1978.
138	Aastatel 1992
138	1812
137	kaasaegsete
136	tulevikus
135	1847
135	2001. aasta
135	1995. aastast
135	1976.
135	märtsis
134	1818
134	kümme aastat
134	1807
134	detsembris
134	06
133	15 aastat
133	1829
133	1828
133	1973.
132	1909. aastal
132	1833
131	1979.
131	1838
131	86
129	1994. aasta
128	kuu
128	1813
128	1936.
128	1823
128	Tänapäeval
128	1825
127	05
126	oktoobris
126	viimastel aastatel
126	kaheks aastaks
126	1824
125	1965.
125	1990. aastatel
125	1970. aastatel
124	1983.
124	jõulud
124	1815
124	2013. aastast
124	16-aastasena
124	täna
123	1810
123	1994. aastast
123	1990. aastast
122	1792
122	1797
122	1906. aastal
122	1937.
122	1958.
121	1966.
121	1988. aasta
121	2015.
121	1997. aastast
121	1974.
121	10-aastaselt
121	1969.
121	novembris
120	10
120	88
119	Aastatel 1993
118	89
118	kolmeks aastaks
118	aastatel 1945
118	18-aastaselt
117	homme
117	1910. aastal
116	Aastatel 1995
116	5 aastat
115	2012. aastast
115	August
115	1917. aasta
115	40
115	aastas
114	07
114	74
114	kuus aastat
113	1901. aastal
113	87
113	1977.
113	1809
113	1903. aastal
112	1795
112	Kevade
111	augustis
111	14
111	1799
111	1904. aastal
110	kaasaegne
109	1997. aasta
109	12
109	3 aastat
109	1933.
109	1938.
108	17-aastane
108	septembris
108	15
108	1971.
108	84
108	juunis
107	2014. aastast
107	04
107	1968. aasta
107	72
107	1907. aastal
