sonu|ajavaljendeid
34|2
1104|28
44|1
69|4
279|7
401|18
281|1
87|3
136|1
63|8
2251|7
626|2
197|5
74|0
128|0
2874|16
24|1
61|7
684|37
312|23
155|19
468|25
112|12
389|42
524|53
3529|288
78|20
186|32
365|30
360|28
235|19
637|72
62|4
210|11
500|37
522|34
143|22
274|48
810|24
97|30
349|20
22|1
373|21
401|10
47|3
571|6
28|2
695|31
131|6
216|1
248|47
250|24
2351|155
1120|92
569|30
245|33
80|6
65|5
48|2
143|15
709|99
114|7
5888|180
413|51
44|4
44|2
41|3
196|25
177|22
132|10
220|15
32|7
44|3
75|4
44|4
248|34
130|2
948|66
338|20
153|12
229|13
183|18
340|36
101|22
366|38
144|16
59|7
152|12
176|23
336|50
279|35
109|11
259|28
114|18
651|45
193|18
147|13
589|44
736|35
478|32
80|6
113|12
756|53
178|25
75|5
51|7
74|5
32|7
523|43
96|11
65|5
254|17
149|6
50|4
81|14
84|4
48|5
694|11
106|7
37|1
63|7
93|4
20|1
37|2
367|31
218|4
541|9
46|0
56|7
204|24
1027|40
125|11
64|13
179|18
116|23
65|4
232|27
189|24
206|18
165|13
96|6
803|14
65|3
541|37
42|2
26|1
111|8
225|25
194|5
74|3
786|19
87|2
42|1
59|1
56|6
2050|55
386|17
22|4
107|2
128|5
49|11
70|3
165|31
29|4
37|6
44|8
231|22
76|12
207|5
319|10
125|4
139|3
30|6
47|1
133|6
24|3
43|4
516|28
28|2
63|1
335|28
317|22
1012|78
17|6
105|14
248|11
358|16
51|6
53|4
71|5
496|61
26|4
44|3
189|22
11|0
79|3
85|17
1496|69
196|10
381|9
337|31
27|3
29|4
41|2
1034|55
72|3
379|39
2035|121
1059|23
103|10
47|4
175|23
46|4
25|2
199|16
245|23
209|7
188|14
212|22
92|8
421|4
48|7
163|9
122|4
28|2
57|0
59|4
181|6
52|6
173|6
63|5
76|0
208|6
300|11
217|7
52|7
180|14
42|5
160|7
95|2
203|16
525|27
379|8
324|30
351|39
98|19
167|29
500|52
115|13
89|8
791|30
30|5
110|3
197|17
6|0
95|6
408|15
41|1
33|6
119|11
23|1
170|4
231|39
29|1
150|5
137|26
202|8
120|10
1636|111
147|19
61|2
1272|38
114|5
292|25
399|38
36|2
36|3
303|20
430|19
226|11
77|4
37|3
806|36
76|3
48|6
23|1
22|3
2242|20
899|36
27|2
16|1
44|2
54|8
1423|73
73|6
109|4
30|4
90|11
170|16
110|20
289|2
33|2
67|5
266|17
60|7
34|7
346|14
75|12
231|12
288|14
477|18
422|13
76|11
848|24
640|12
132|15
319|21
87|3
140|1
32|1
128|17
1230|107
712|109
158|4
745|47
336|44
207|32
85|2
104|22
160|12
34|2
84|8
1267|65
60|9
113|12
42|4
82|6
117|7
379|21
107|19
661|18
249|29
713|103
33|3
3463|98
260|47
378|16
1028|80
221|9
187|12
260|29
143|21
229|11
124|16
102|8
17|3
27|2
69|10
79|16
485|46
364|11
81|15
801|86
47|3
178|14
342|45
133|13
255|8
311|14
33|4
194|16
127|15
74|6
261|26
76|1
310|30
152|19
742|64
245|9
60|11
297|32
38|2
100|9
68|8
591|14
156|32
85|4
47|6
44|5
105|6
261|30
88|11
189|11
417|22
232|19
22|2
66|7
24|2
20|2
121|21
81|8
145|17
105|7
44|2
60|4
638|76
877|35
249|35
91|10
37|1
775|19
124|6
112|9
69|7
56|1
796|30
30|1
23|1
23|1
188|11
182|9
236|37
184|10
35|2
138|6
116|10
109|15
296|40
